"Title","Alternative Title","Copyright","Author(s)","Song Book","Topic"
"In The Presence","","© 1989 People of Destiny/Integrity's Praise! Music/ Kingsway's Thankyou Music","Mark Altrogge","",""
"In the Stars His Handy Works I See","","© 1964, Lexicon Music, Inc/ASCAP. Administered in","Ralph Carmichael","",""
"In This Quiet Moment","","","Carl Boberg","",""
"In times like these you need a Saviour","","","Ruth Caye Jones","",""
"Into my heart","","","Carl Boberg","",""
"Into Thy Presence Lord I bring my heart in Praise","","","Carl Boberg","",""
"In Your Presence There is Fullness of Life","","2002 Thankyou Music","Lara Martin","",""
"I once was a stranger","","","Robert Murray McCheyne","",""
"I saw a new vision of Jesus","","","William Vernon Higham  (1926- )","",""
"I See The Lord","","","Carl Boberg","",""
"I see the Lord I see the Lord exalted high","","","John Chisum & Don Moen","",""
"I See You (I Cry Holy)","","","Carl Boberg","",""
"I sing praises to Your name (E)","","","Carl Boberg","",""
"Isn't He Wonderful (G)","","","Carl Boberg","",""
"I stand amazed in the presence (G)","","","Carl Boberg","",""
"I stand before the presence","","© 1980 Authentic Publishing/CopyCare","Mavis Ford","",""
"I stand before you Lord (Now that you're near)","","","Carl Boberg","",""
"I stand to Praise You (Light the Fire)","","","Carl Boberg","",""
"Is there a heart that is waiting","","","Annie L James","",""
"Is There a Mountain In Your Way","","","Carl Boberg","",""
"I stood one day at Calvary","","","Walt Huntley","",""
"Is your burden heavy (Reach Out To Jesus)","","","Carl Boberg","",""
"Is your life a channel of blessing","","","H G Smyth","",""
"I take Thy promise, Lord (F)","","","Carl Boberg","",""
"It Came Upon a Midnight Clear","","","E. H. Sears","",""
"I think when when I read","","","Jemima Luke","",""
"I thirst Thou wounded Lamb of God","","","5 Nicolause Ludwig von Zinzendorf; vv3 | 4 Johann Nitschmann; tr. John Wesley | 2 | vv1","",""
"It is a Good Thing to Praise the Lord","","","Carl Boberg","",""
"It is a Thing Most Wonderful","","","W. W. How","",""
"It is glory just to walk with Him whose","","","Avis M Burgeson","",""
"IT IS YOU (E)","","","Carl Boberg","",""
"It may be at morn when the day is awaking","","Public Domain","H L Turner","",""
"It may not be on the mountain's height","","","Mary Brown","",""
"It only takes a spark (Pass it on) (C)","","","Carl Boberg","",""
"I to the hills will lift mine eyes","","","Psalm 121 (Scottish Psalter)","",""
"It passeth knowledge that dear love of Thine","","","Mary Shekleton (1827-83)","",""
"It's a great thing (Walking in the light) (D)","","","Carl Boberg","",""
"It's all about You (Jesus lover of my soul)","","","Carl Boberg","",""
"It’s a lovely lovely Name the Name of Jesus","","","Dave Garrett","",""
"It's me it's me O Lord","","Public Domain","American Spiritual","",""
"It's not often I feel like (All That Is in Me)","","","Carl Boberg","",""
"It's Your Blood that cleanses me","","","Carl Boberg","",""
"It was down at the feet of Jesus","","","Elisha A Hoffman","",""
"I’ve a message from the Lord","","","W A Ogden","",""
"I've been crucified with Christ (C)","","","Carl Boberg","",""
"I’ve found a friend in Jesus","","","C W Fry","",""
"I’ve found a Friend oh such a Friend!","","Public Domain","James  Small (1817-88)","",""
"I've found a new place in the heavenlies (G)","","","Carl Boberg","",""
"I’ve found a new place in the heavenlies(G)","","","Carl Boberg","",""
"I'VE GOT A HOME IN GLORY LAND (D)","","","Carl Boberg","",""
"I’ve got a river of life flowing out from me (F)","","","Carl Boberg","",""
"I've Got Peace Like a River","","","Traditional","",""
"I've Got the Joy Joy Joy Joy Down in My Heart","","","Carl Boberg","",""
"I’ve something in my heart","","","L R Minor","",""
"I’ve wandered far away from God","","","William J Kirkpatrick (1838-1921)","",""
"I waited for the Lord my God","","","Psalm 40","",""
"I want dear Lord a heart that’s true and clean","","","George Jackson","",""
"I want to be a channel for the river of God (D)","","","Carl Boberg","",""
"I want to be obedient","","","Carl Boberg","",""
"I want to praise you Lord","","","Carl Boberg","",""
"I was glad when (E)","","","Carl Boberg","",""
"I was journeying in the noontide","","","F Bevan tr.","",""
"I was once far away from the Saviour","","","C J Butler","",""
"I was sinking deep in sin ()","","Public Domain","James Rowe (1865-1933)","",""
"I will bless Thee O Lord (D)","","","Carl Boberg","",""
"I will call upon the Lord (D)","","","Carl Boberg","",""
"I Will Come to You","","","Carl Boberg","",""
"I will declare my choice (I will not be shaken)","","","Carl Boberg","",""
"I will enter His gates (D)","","","Carl Boberg","",""
"I will give thanks to Thee (Be exalted) (B)","","","Carl Boberg","",""
"I will give thanks to Thee (Be exalted) (D)","","","Carl Boberg","",""
"I will go in the strength of the Lord","","","Ivor Bosanko/Edward Turney","",""
"I will make you fishers of men (Read your Bible)","","","Carl Boberg","",""
"I Will Never Be The Same","","2001 Thankyou Music","Ian Hannah","",""
"I will offer up my life (D)","","","Carl Boberg","",""
"I will praise him","","Public Domain","Margaret J. Harris","",""
"I will praise Your name","","","Bob Fitts","",""
"I Will rejoice","","1985 Scripture in Song .(Adm. by Integrity Music, Inc)","Brent Chambers","",""
"I Will Rejoice In You And Be Glad","","","Carl Boberg","",""
"I will sing of my Redeemer","","","Carl Boberg","",""
"I will sing of my Redeemer (F)","","Public Domain","P. Bliss","",""
"I Will Sing Of The Mercies","","","J. H. Fillmore","",""
"I will sing the wondrous story (E)","","","Carl Boberg","",""
"I will sing unto the Lord as long as I live (D)","","","Carl Boberg","",""
"I Will Song of the Mercies","","","J. H. Fillmore","",""
"I will worship (You Are Worthy of My Praise) (E)","","","Carl Boberg","",""
"I worship thee sweet will of God (G)","","","Carl Boberg","",""
"I worship You, Almighty God (B)","","","Carl Boberg","",""
"2 - Jab se pyara yeshu (D)","","","Carl Boberg","",""
"2 - Jago sone walo waqt jane laga","","","Carl Boberg","",""
"2 - Jago sone walo waqt jane laga (Eng Script)","","","Carl Boberg","",""
"2 -Jai denewale Prabhu Yeshu ko (C)","","","Carl Boberg","",""
"2 - Jai jai Prabhu Yeshu ki (C)","","","Carl Boberg","",""
"2 - Jaise Mata Sambhalti hai","","","Carl Boberg","",""
"2 - Jeevan se bhi uttam","","","Carl Boberg","",""
"Jehovah Jireh (Em)","","","Carl Boberg","",""
"Jesus all for Jesus","","","Carl Boberg","",""
"Jesus all for Jesus (D)","","","Carl Boberg","",""
"Jesus,all for Jesus (D)","","","Carl Boberg","",""
"Jesus Bids Us Shine","Jesus Bids Us Shine","Public Domain","Susan B. Warner | pub.1868","",""
"Jesus Called them one by one.(Apostels)","","","Carl Boberg","",""
"Jesus calls us o'er the tumult","","Public Domain","C F Alexander (1818-95)","",""
"Jesus Christ is alive today","","","Anon","",""
"Jesus Christ Is Risen Today","","Public Domain","Lyra Davidica","",""
"Jesus Christ (Once again)","Once Again","1995 Thankyou Music","Jack Hayford","",""
"Jesus has loved me wonderful Saviour","","","J W  Macgill","",""
"Jesus hath died and hath risen again","","","Carl Boberg","",""
"Jesus! I am resting","","Public Domain","Jean S. Pigott","",""
"Jesus I am resting resting","","HarperCollins Admin by CopyCare","Jean Sophia Pigott (1845-82)","",""
"Jesus I my cross have taken (F)","","","Henry Francis Lyte (1793-1847)","",""
"Jesus I my cross have taken","","","Henry Francis Lyte (1793-1847)","",""
"Jesus is coming sing the glad word","","","D W Whittle","",""
"Jesus is tenderly calling thee home","","Public Domain","Thomas O. Chisholm","",""
"Jesus Is The Answer (D)","","","Carl Boberg","",""
"Jesus, Jesus, Jesus","","","Carl Boberg","",""
"Jesus Jesus Jesus sweetest name on earth","","","A Paget Wilkes","",""
"Jesus keep me near the Cross","","Public Domain","Isaac Watts","",""
"JESUS let Thy Splendour (F)","","","Carl Boberg","",""
"Jesus Lives","","Public Domain","Tr. Frances E. Cox | Christian F. Gellert","",""
"Jesus lives,Jesus lives","","","Carl Boberg","",""
"Jesus Love Is Very Wonderful","","","Carl Boberg","",""
"Jesus Lover Of My Soul All Consuming Fire","","1995 Kingsway's Thankyou Music","Paul Oakley","",""
"Jesus Lover of My Soul","","","Martin J. Nystrom","",""
"Jesus lover of my soul (Let to me Thy bosom fly)","","Public Domain","Michael W. Smith","",""
"Jesus loves me this I know","","","Anna Bartlett Warner (1820-1915)","",""
"Jesus loves the little children","","","Carl Boberg","",""
"Jesus my King my wonderful Saviour","","","J M Harris","",""
"Jesus, my Saviour King","","","G Railton","",""
"Jesus my Saviour to Bethlehem came","","","A.N.","",""
"Jesus name above all names (D)","","","Carl Boberg","",""
"Jesus only is our message (F)","","","Carl Boberg","",""
"Jesus our Lord","","","Carl Boberg","",""
"Jesus our Lord (E)","","","Carl Boberg","",""
"Jesus Prince and Saviour","","Public Domain","Timothy Dudley-Smith","",""
"Jesus savior, wonderful savior (G)","","","Zac Poonen","",""
"Jesus Saviour pilot me","","","E Hopper","",""
"Jesus Shall Reign","","Public Domain","Isaac Watts","",""
"Jesus Stand Among Us In Thy Risen Power","","Public Domain","William Pennefather","",""
"Jesus Stand Among Us","","","William Pennefather","",""
"Jesus take me as I am","","","Carl Boberg","",""
"Jesus The Name High Over All","","Public Domain","Martin J. Nystrom","",""
"Jesus The Very Thought Of Thee","","Public Domain","St Bernard of Clairvaux | Tr. Edward Caswall","",""
"Jesus Thine all-victorious love","","","Michael W. Smith","",""
"Jesus Thou joy of loving hearts","","","Bernard of Clairvaux (1091-1153)","",""
"Jesus Thy blood and righteousness","","","Nikolaus Ludwig von Zinzendorf (1700-60); tr John Wesley","",""
"Jesus Thy boundless love to me (F)","","","Carl Boberg","",""
"Jesus wants me for a sunbeam (Sunbeam)","","","Carl Boberg","",""
"Jesus we enthrone You (G)","","","Carl Boberg","",""
"Jesus what a wonder","","","Carl Boberg","",""
"Jesus  what a wonder You are","","","Carl Boberg","",""
"Jesus where'er thy people meet","","Public Domain","William Cowper","",""
"Jesus You are Everything","","","Carl Boberg","",""
"Jesus You're the sweetest name of all (D)","","© 1980 Coomsietunes/CopyCare","Tommy Coomes","",""
"Jesus You're the sweetest name of all","","© 1980 Coomsietunes/CopyCare","Tommy Coomes","",""
"Join All The Glorious Names","","Public Domain","Isaac Watts","",""
"Joys are flowing like a river","","","M P Ferguson","",""
"Joy to the World","","","Carl Boberg","",""
"Joy To the World","","","Isaac Watts","",""
"Just As I Am (A)","","Public Domain","Charlotte Elliot","",""
"Just As I Am","","Public Domain","Charlotte Elliot","",""
"Just one of us (One of Us)","","","Carl Boberg","",""
"Just today, O help me, Lord to live","","","Carl Boberg","",""
"Jyare yudhh kathan lage","","","Carl Boberg","",""
"Keep On Praying","","","Carl Boberg","",""
"2 - Khushi khushi manao (G)","","","Stuart Townend & Keith Getty | Carl Boberg","",""
"King of my life I crown Thee now","","","Jenny Evelyn Mussey","",""
"Lead us Heavenly Father","","","James Edmeston","",""
"Let All Mortal Flesh","","Public Domain","Liturgy of St James | c.4th cent | Tr. Gerard Moultrie (1829-85)","",""
"Let All The World","","Public Domain","George Herbert","",""
"Let earth and heaven combine","","","Michael W. Smith","",""
"Let it be to me","","© 1988 Make Way Music","Vernon Sanders","",""
"Let me come closer to Thee Lord Jesus","","","Joseph L Lyne","",""
"Let me sing, for the glory of heaven (D)","","","Carl Boberg","",""
"Let my life be like a love song (Let my life be like a love song)","","","Carl Boberg","",""
"Let's Take Time","","","Carl Boberg","",""
"Let The Beauty of Jesus","","Tom Jones","Albert Orsborn","",""
"Let The Beauty of Jesus (C)","","Tom Jones","Albert Orsborn","",""
"Let us Break Bread Together","","","Carl Boberg","",""
"Let us sing of His love once again","","","Wilson George","",""
"Let Us With A Gladsome Mind","","Public Domain","John Milton","",""
"Let Your Glory fall (Fill us now)","","","Carl Boberg","",""
"Let Your life be seen in them (Let Them See)","","","Carl Boberg","",""
"Life at best is very brief","","","William Kirkpatrick","",""
"Lift Jesus Higher","","","Carl Boberg","",""
"Lift up your heads (B)","","© 2001 Integrity's Hosanna! Music","Steve Merkel","",""
"Lift up your heads (DeShazo)","","© 2001 Integrity's Hosanna! Music/Sovereign Music UK","Lynn DeShazo","",""
"Lift up your heads (Merkel)","","© 2001 Integrity's Hosanna! Music","Steve Merkel","",""
"Lift Up Your Heads O you gates (Kendrick)","","1991 Make Way Music","Vernon Sanders","",""
"Lift your vision high (G)","","","Carl Boberg","",""
"Light of the world (E)","","","Carl Boberg","",""
"Like A River Glorious (F)","","Public Domain","Frances Ridley Havergal","",""
"Like A River Glorious","","Public Domain","Frances Ridley Havergal","",""
"Like the woman at the well I was seeking","","","Richard Blanchard","",""
"Like the woman brought to Jesus(THE SWEETEST WORDS)","","","Joel Hemphill","",""
"Listen to my prayer","","","Carl Boberg","",""
"Little by little everyday","","","Carl Boberg","",""
"Live out Thy life within me","","","Frances Ridley Havergal (1836-79)","",""
"Living for Jesus a life that is true","","© Word, Texas. Admin in Aust by Word Publ, Melb.","T. O. Chisholm.","",""
"LIVING FOR YOUR GLORY","","","Carl Boberg","",""
"Lo He Come With Clouds Descending","","","Martin J. Nystrom","",""
"Look away to the cross","","Public Domain","Joseph M. Scriven","",""
"Look What You've Done","","","Carl Boberg","",""
"Look Ye Saints The Sight Is Glorious","","Public Domain","Thomas Kelly","",""
"Lord crucified give me a heart like Thine","","","Carl Boberg","",""
"Lord Enthroned In Heavenly Splendour","","Public Domain","G. H. Bourne","",""
"Lord for tomorrow, I do not pray","","","Carl Boberg","",""
"Lord Have Mercy (Give Me the Heart)","","","Carl Boberg","",""
"Lord I believe a rest remains","","","Michael W. Smith","",""
"Lord I come before Your throne of grace (A)","","","Carl Boberg","",""
"Lord I come to you (Take my life)","","© 2001 Kevin Mayhew Ltd.","Andrew and Wendy Rayner","",""
"Lord I hear of showers of blessing","","","Elizabeth Codner (1824-1919)","",""
"Lord I Lift Your Name On High (D)","","","Carl Boberg","",""
"2 - Lord I Lift Your Name on high(Eng&Hin){G}","","","Carl Boberg","",""
"Lord I make a full surrender","","","Carl Boberg","",""
"Lord i'm hungry (E)","","","Carl Boberg","",""
"Lord I'm through trying (Lead Me)","","","Carl Boberg","",""
"Lord I praise Thee for Thy goodness","","","Carl Boberg","",""
"Lord Jesus Christ, we bow in full surrender","","","Carl Boberg","",""
"Lord Jesus Christ we seek Thy face","","1991 Kingsway's Thankyou Music","Alex Stewart","",""
"Lord Jesus He loves me so","","","Carl Boberg","",""
"Lord Jesus I long to be perfectly whole","","","J Nicholson","",""
"Lord Jesus, I love thee (D)","","","Carl Boberg","",""
"Lord of all being throned afar","","Public Domain","Oliver Wendell Holmes (1809-94)","",""
"Lord of all creation (God of Wonders)","","","Carl Boberg","",""
"Lord prepare me (G)","","","Carl Boberg","",""
"Lord speak to me that I may speak","","Public Domain","Frances Ridley Havergal (1836-79)","",""
"Lord Thee my God I’ll early seek","","","Psalm 63:1-8","",""
"Lord the light of Your love (A)","","","Carl Boberg","",""
"Lord through the Blood of the Lamb","","","Carl Boberg","",""
"Lord we need Your grace (Spirit Touch Your Church)","","","Carl Boberg","",""
"Lord you know how much (Magnificent Obsession)","","","Carl Boberg","",""
"Lord You seem so far away (C)","","","Carl Boberg","",""
"Love Came Down at Christmas","","","Christina G. Rosetti","",""
"Love Came Down At Christmas","","Public Domain","Christina Rossetti (1830-94)","",""
"Love Divine","","Public Domain","Martin J. Nystrom","",""
"Love Divine so great and wondrous","","","Fred Blom tr Nathaniel Carson","",""
"Loved with everlasting love (D)","","","Carl Boberg","",""
"LOVE IS TO LAY YOUR LIFE DOWN (A)","","","Carl Boberg","",""
"Love The Lord Your God","","","Carl Boberg","",""
"Love unfailing (To the ends of the earth)","","","Carl Boberg","",""
"Love Was When","","","Carl Boberg","",""
"Loving Us Like No Other","","","Carl Boberg","",""
"Low In The Grave He Lay","","Public Domain","Robert Lowry","",""
"Low in The Grave He Lay","","","Roberty Lowry","",""
"2 - Mahima ho teri (G)","","","Carl Boberg","",""
"Majesty worship His majesty (A)","","","Carl Boberg","",""
"Make me a captive, Lord","","Public Domain","George Matheson (1842-1906)","",""
"Make me a channel of your peace","","","Carl Boberg","",""
"2 - Man mandir me yeshu aya.","","","Carl Boberg","",""
"Man of Sorrows","","","Philipp Bliss","",""
"2 - Man to Prabhu ka mandir hai (D)","","","Carl Boberg","",""
"Marching on in the light of God","","","R  Johnson","",""
"Master Speak Thy Servant Heareth","","Public Domain","Frances Ridley Havergal","",""
"May the Mind of Christ my Saviour","","","Kate B. Wilkinson","",""
"May The Mind Of Christ My Saviour","","Public Domain","Kate B. Wilkinson (1859-1928)","",""
"May the words of my mouth","","","tim hughes","",""
"Meekness and majesty (D)","","","Carl Boberg","",""
"Men of faith rise up and sing (Shout to the north ) (G)","","","Carl Boberg","",""
"Might is our God (G)","","","Carl Boberg","",""
"Mighty Fortress","","","Christy Nockels","",""
"2 - Milkar ham sanna teri gate (D)","","","Carl Boberg","",""
"Mine eyes have seen the glory of the coming of the Lord","","","Julia Ward  Howe","",""
"Mine mine mine, Jesus is mine","","","Carl Boberg","",""
"Mirrors hanging in their place","","","Carl Boberg","",""
"More about Jesus would I know","","","Robert Grant","",""
"More Than Anything","","","Carl Boberg","",""
"Move me, dear Lord, and others I shall move","","","E C W Boulton","",""
"2 - Mukti dilaye Yesu naam","","","Carl Boberg","",""
"Must I go and empty-handed","","","C C Luther","",""
"My faith has found a resting place","","","L H Edmonds","",""
"My faith looks up to Thee","","Public Domain","Ray Palmer  (1808-1887)","",""
"My First Love Is Jesus","","","Carl Boberg","",""
"My goal is God Himself not joy nor peace","","Public Domain","F Brook","",""
"My goal is God Himself not joy nor peace (F)","","Public Domain","F Brook","",""
"My God How Wonderful Thou Art","","Public Domain","Frederick W. Faber","",""
"My God is so big, so strong and so mighty","","","Carl Boberg","",""
"My God is so great","","","Carl Boberg","",""
"My God is so great (E)","","","Carl Boberg","",""
"My happy soul rejoices","","","Hope Tryaway","",""
"My heart is fixed eternal God","","","Richard Dukes","",""
"My hope is built on nothing less (E)","","Public Domain","E Mote","",""
"My Jesus, I love Thee (F)","","","Carl Boberg","",""
"My Jesus, my Saviour (A)","","","Darlene Zchech.","",""
"My Jesus ,thou from whom there’s nothing hidden","","","Thorlief Hansen.","",""
"My peace I give unto you (D)","","","Carl Boberg","",""
"My Saviour Thou hast offered rest","","","E H Hopkins","",""
"My Song Is Love Unknown","","Public Domain","Samuel Crossman","",""
"My Song is Love Unkown","","","Samuel Crossman","",""
"My song shall be of Jesus","","Public Domain","Thomas O. Chisholm","",""
"My spirit soul and body","","","M D James","",""
"My stubborn will at last hath yielded","","","Mrs. C.H. Norris (1862-1929)","",""
"My times are in Thy hand","","","W F Lloyd","",""
"Name above all other names (G)","","","Carl Boberg","",""
"Name of Jesus highest Name","","","Tersteegen | tr. Mrs Bevan","",""
"Naught have I gotten but what I received","","","James M Gray","",""
"Nearer My God To Thee","","Public Domain","Sarah Flower Adams","",""
"Nearer still nearer close to Thy heart","","","Lelia  Morris (1862-1929)","",""
"Never Cease to Praise","","","Jeff Bourque","",""
"Never later than this day","","","Daniel J. Evans","",""
"Nevertheless continually","","","Psalm 73:23-28 (Scottish Psalter)","",""
"No Eye Has Seen And No Ear Has Heard","","1990 Integrity's Hosanna! Music/People of Destiny Int./Adm. by Kingsway's Thankyou Music","Mark Altrogge","",""
"No Not by Might","","","Carl Boberg","",""
"No other name (G)","","","Carl Boberg","",""
"Not all the blood of beasts","","","Joachim Neander","",""
"Not a sound invades the stillness","","","Carl Boberg","",""
"Not I but Christ","","Public Domain","A.A.F.","",""
"Not I but Christ (G)","","Public Domain","Krystin Getty","",""
"Not the grandeur of the mountains","","","Michael Perry","",""
"Now have songs of praise begun","","","Carl Boberg","",""
"Now have songs of praise begun (D)","","","Carl Boberg","",""
"Now in a song of grateful praise","","","Samuel Medley","",""
"Now Thank We All Our God","","","Martin Rinkart","",""
"Now Thank We All Our God","","Public Domain","Martin Rinkart | Tr. Catherine Winkworth","",""
"Now Unto Him","","©  Copyright 1972. Norma Wood. All rights reserved","Olive Wood (Jude 24-25)","",""
"Now unto the King Eternal","","","Carl Boberg","",""
"Obedience is the very best way","","","Carl Boberg","",""
"O Breath Of God Breathe On Us Now","","Public Domain","Alfred Vine","",""
"O Breath of Life Come Sweeping Through","","","Elizabeth Porter Head","",""
"O Breath Of Life Come Sweeping Through Us","","Public Domain","Elizabeth Porter Head","",""
"O Christ in thee my soul hath found","","Public Domain","B.E.","",""
"O Christ in Thee my soul hath found (F)","","","Carl Boberg","",""
"O Christ what burdens bowed Thy head","","","A R Consin","",""
"O Come All Ye Faithful","","Public Domain","altd | Tr. Frederick Oakeley","",""
"O Come All Ye Faithful","","","Frederick Oakeley","",""
"O come and join the dance","","© Copyright 1988 Make Way Music","Vernon Sanders","",""
"O Come Let Us Adore Him","","","Carl Boberg","",""
"O come let us adore Him (D)","","","Carl Boberg","",""
"O come let us sing to the Lord","","","Psalm 95 verses 1-7 (Scottish Psalter)","",""
"O Come O Come Immanuel","","Public Domain","altd | Tr. John Mason Neale","",""
"O Come O Come Immanuel","","","John Mason Neale","",""
"O Father of Jesus exalted on high","","","H E Govan","",""
"O For a Closer Walk With God","","","William Cowper","",""
"O For A Closer Walk With God","","Public Domain","William Cowper (1731-1800)","",""
"O For a Heart to Praise My God","","","Martin J. Nystrom","",""
"O For A Thousand Tongues","","Public Domain","Martin J. Nystrom","",""
"O For A Thousand Tongues (D)","","Public Domain","Martin J. Nystrom","",""
"O for a thousand tongues (G)","","","Carl Boberg","",""
"O give thanks (Kendrick)","","© 1991 Make Way Music","Vernon Sanders","",""
"O God of Bethel! by whose hand","","","Philip Doddridge & Logan","",""
"O God Our Help In Ages Past","","Public Domain","Isaac Watts","",""
"O God our help in ages past","","Public Domain","Isaac Watts | alt.","",""
"O happy day that fixed my choice","","Public Domain","P. Doddridge","",""
"O happy day!","","Public Domain","Unknown","",""
"Oh, be careful little eyes, what you see.","","","Carl Boberg","",""
"Oh, be careful little eyes, what you see. (B)","","","Carl Boberg","",""
"Oh, be careful little eyes, what you see. (F)","","","Carl Boberg","",""
"Oh Breath of Life come sweeping","","","Elizabeth A P Head (1850-1936)","",""
"Oh for a heart to praise my God","","","Michael W. Smith","",""
"Oh for a life to please my God","","","J H Watson","",""
"Oh for a new anointing","","","Joseph Templeton","",""
"Oh happy day that fixed my choice","","","Philip Doddridge (1702-51)","",""
"Oh how dark the night","","Public Domain","W. G. Moyer","",""
"OH, HOW I LOVE JESUS (D)","","","Carl Boberg","",""
"Oh how sweet the glorious message","","","Krystin Getty","",""
"Oh how sweet the glorious message (G)","","","Krystin Getty","",""
"Oh Lord You're beautiful (D)","","","Carl Boberg","",""
"Oh now I see the cleansing wave","","","Phoebe Palmer","",""
"Oh safe to the Rock that is higher","","","William Orcutt Cushing (1823-1903)","",""
"Oh safe to the rock","","Public Domain","W. O. Cushing","",""
"Oh the bitter shame and sorrow","","","Theodore Monod","",""
"Oh this uttermost salvation","","","jesus culture","",""
"Oh to see the dawn (Power of the cross) (C)","","","Carl Boberg","",""
"Oh, to see the dawn(The Power Of The Cross){C}","","Thankyou Music, published by Kingsway.","Stewart Townend and Keith Getty","",""
"Oh when He (Awesome God) (F#m)","","","Carl Boberg","",""
"Oh where are the reapers that gather","","","E E Rexford","",""
"Oh who can please the Holy One","","","Carl Boberg","",""
"Oh worship the King","","","Robert Grant (1779-1838)","",""
"O I`m travelling on the Hallelujah line(Gospel Train)","","","Carl Boberg","",""
"O Jesus Christ grow Thou in me","","","H B Smith","",""
"O Jesus I Have Promised","","Public Domain","John Ernest Bode","",""
"O Lamb of God! Thou wonderful sin-bearer","","","C Booth Clibborn/Wesley Evans","",""
"O little one be welcome here","","","Carl Boberg","",""
"O Little Town Of Bethlehem","","Public Domain","Philips Brooks","",""
"O Lord my God (G/A)","","","Carl Boberg","",""
"O Lord My Heart Longs To Be (O Lord My Heart Longs To Be)","","","Carl Boberg","",""
"O Lord, our Lord (C)","","","Carl Boberg","",""
"O Lord You're beautiful (D)","","","Carl Boberg","",""
"O Love Divine what hast Thou done","","","Michael W. Smith","",""
"O Love That Wilt Not Let Me Go","","Public Domain","George Matheson","",""
"O mourner in Zion how blessed art thou","","","E F Miller","",""
"O My Saviour Lifted","","Public Domain","William W. How","",""
"On a Hill Far Away (The Old Rugged Cross) (A)","","","George Bennard","",""
"On a Hill Far Away (The Old Rugged Cross)","","","George Bennard","",""
"On Bended Knee","","© 1988 Integrity's Hosanna! Music/Sovereign Music UK","Robert Gay","",""
"Once again the Gospel message","","","D W Whittle","",""
"Once in royal David's city (altd)","Once in royal David's city","Verse 4 © 1996 Kevin Mayhew Ltd.","Cecil Frances Alexander (v. 4: Michael Forster)","",""
"Once In Royal David's City","","Public Domain","Daniel C. Stradwick","",""
"Once I thought I walked with Jesus","","","F A Blackmer","",""
"Once it was the blessing (C)","","","Carl Boberg","",""
"Once I was bound by sin's galling fetters","","","Haldor Lillenas","",""
"Once our blessed Christ of beauty","","","Carl Boberg","",""
"One day when Heaven (Glorious day)","","","Carl Boberg","",""
"One day when heaven was filled with His praises","","Public Domain","J Wilbur Chapman (1859-1918)","",""
"One fine morning when this life is over","","","Albert E. Brumley","",""
"One offer of salvation","","Public Domain","Philip P. Bliss","",""
"One sat alone beside the highway (D)","","","Carl Boberg","",""
"One Thing Have I","","","Carl Boberg","",""
"One Thing Have I (D)","","","Carl Boberg","",""
"One thing I of the Lord desire","","","Walter G Smith","",""
"One Way Jesus.","","","Carl Boberg","",""
"Only a Little Boy David","","","Carl Boberg","",""
"Only a Little Boy David (F)","","","Carl Boberg","",""
"Only You Are Worthy","","","Carl Boberg","",""
"Only You Can Shake The Mountains (Only You)","","","Carl Boberg","",""
"Only you (I will worship)","","© 2002 Vineyard Songs (SA)/CopyCare","Andy Shaw","",""
"On the cross of Calvary","","","J C Bateman","",""
"On the night You were betrayed (Remember Me)","","","Carl Boberg","",""
"On this assembled host","","Public Domain","Matt Redman","",""
"Onward Christian Soldiers","","Public Domain","Sabine Baring-Gould","",""
"Open my eyes, that I may see (C)","","","Carl Boberg","",""
"Open our eyes Lord (D)","","","Carl Boberg","",""
"Open the eyes of my heart (E)","","","Carl Boberg","",""
"O Praise Ye The Lord","","Public Domain","Henry W. Baker","",""
"O Sacred Head Once Wounded","","","Paulus Gerhardt","",""
"O Sacred Head Once Wounded","","Public Domain","Paulus Gerhardt | Tr. James W. Alexander","",""
"O Saviour Lifted","","","W. W. How","",""
"O sing a new song to the Lord","","","Psalm 96 verses 1-9 (Scottish Psalter)","",""
"O sinners come to Jesus","","","H E Govan","",""
"O sinner the Saviour is calling for thee","","","Virginia W Moyer","",""
"O Spirit of the living God","","","Ludwig van Beethoven","",""
"O teach me what it meaneth","","Public Domain","Lucy Ann Bennett (1850-1927)","",""
"O the blood of Jesus (2)","","© 1997 by Word Music Inc./CopyCare","Traditional v 1 &amp; 4; Brenda Barker v 2 &amp; 3","",""
"O the blood of Jesus","","Public Domain","Unknown","",""
"O the Deep Deep Love of Jesus","","","Samuel Trevor Francis","",""
"O Thou my soul bless God the Lord","","","T Sternhold  (from Ps 103)","",""
"O Thou Who Camest From Above","","Public Domain","Martin J. Nystrom","",""
"O to be like Thee blessed Redeemer (D)","","","T O Chisholm","",""
"O to be like Thee blessed Redeemer","","","T O Chisholm","",""
"Our blest Redeemer ere He breathed","","Public Domain","H Auber","",""
"Our God is a Great Big God","","","Carl Boberg","",""
"Our God is an awesome God","","","Carl Boberg","",""
"Our God is so great","","Public Domain","Unknown","",""
"Our Lord is now rejected","","","Daniel W Whittle","",""
"Out in the darkness","","","F Kirkland","",""
"Out of my bondage sorrow and night","","","William True Sleeper (1819-1904)","",""
"Over and Over, again and again","","","Jeff&Sheri Easter","",""
"O what a Saviour that He died for me!","","","James McGranahan (1840-1907)","",""
"O what a wonderful wonderful day","","","John W Peterson","",""
"O what bitter fruit your life has brought you","","","Carl Boberg","",""
"O what love, what boundless love(G)","","","Carl Boberg","",""
"O Worship the King","","","Robert Grant","",""
"O Worship The Lord","","Public Domain","John S. B. Monsell","",""
